,Price,Beds,Bathrooms,Square Footage,Property type,City,Zip Code
0,453200,6,4.0,2168.0,- Foreclosure,Jamaica,11433
1,119000,0,1.0,450.0,- Condo for sale,New York,10019
2,1295000,4,3.0,2598.0,- For sale by owner,Brooklyn,11209
3,65000,1,1.0,700.0,- Condo for sale,Bronx,10473
4,379000,2,3.0,1800.0,- Condo for sale,New York,10022
5,699000,3,3.0,2132.0,- House for sale,Staten Island,10314
6,125000,5,2.0,2695.0,- Multi-family home for sale,Bronx,10456
7,299000,3,2.0,1200.0,- Condo for sale,Bronx,10463
8,375000,2,2.0,1400.0,- Condo for sale,New York,10022
9,345000,3,2.0,1400.0,- Condo for sale,Bayside,11360
10,200000,4,2.0,1248.0,- House for sale,Jamaica,11436
11,495000,4,4.0,,- Condo for sale,New York,10022
12,239000,2,1.0,1024.0,- Condo for sale,Brooklyn,11229
13,360000,2,3.0,905.0,- House for sale,Staten Island,10306
14,185000,3,2.0,,- House for sale,Howard Beach,11414
15,500000,2,1.0,1000.0,- For sale by owner,Brooklyn,11209
16,589000,2,2.0,825.0,- Condo for sale,Brooklyn,11215
17,150000,0,1.0,650.0,- Condo for sale,New York,10019
18,169000000,6,9.0,8255.0,- Condo for sale,New York,10022
19,299000,1,1.0,,- Condo for sale,New York,10001
20,345000,2,2.0,1400.0,- Condo for sale,New York,10022
21,1650,1,1.0,640.0,- Condo for sale,Elmhurst,11373
22,279000,2,1.0,,- Condo for sale,Astoria,11105
23,174900,2,1.0,1000.0,- Foreclosure,Corona,11368
24,150000,2,1.0,900.0,- Condo for sale,Bronx,10460
25,150000,0,1.0,650.0,- Condo for sale,New York,10019
26,85000,1,1.0,750.0,- Condo for sale,Bronx,10474
27,305000,0,1.0,450.0,- For sale by owner,New York,10128
28,300000,9,3.0,2976.0,- Multi-family home for sale,Brooklyn,11207
29,425000,2,2.0,1250.0,- Condo for sale,New York,10022
30,700000,4,3.0,1680.0,- Foreclosure,Staten Island,10304
31,462000,2,2.0,1350.0,- For sale by owner,Jamaica,11435
32,395000,3,2.0,1000.0,- Condo for sale,New York,10026
33,85000,1,1.0,,- Condo for sale,Bronx,10452
34,595000,3,3.0,2200.0,- Condo for sale,New York,10022
35,365000,4,2.0,2214.0,- House for sale,Bronx,10467
36,399000,3,2.0,1316.0,- House for sale,Brooklyn,11234
37,599000,3,3.0,1660.0,- House for sale,Staten Island,10303
38,790000,1,1.0,400.0,- For sale by owner,New York,10003
39,170000,1,1.0,650.0,- Condo for sale,Brooklyn,11225
40,375000,3,1.0,,- Condo for sale,Brooklyn,11216
41,1519000,4,3.0,2310.0,- House for sale,Brooklyn,11234
42,275000,3,3.0,595.0,- House for sale,Bronx,10473
43,675000,3,2.0,2416.0,- House for sale,Staten Island,10312
44,459000,2,1.0,1012.0,- Apartment for sale,New York,10027
45,629000,3,1.0,1050.0,- For sale by owner,Brooklyn,11226
46,1398000,4,3.0,2480.0,- Multi-family home for sale,Brooklyn,11228
47,471000,3,2.0,1884.0,- House for sale,Bronx,10462
48,899000,4,2.0,2338.0,- House for sale,Staten Island,10312
49,549000,4,3.0,1730.0,- Multi-family home for sale,Staten Island,10305
50,310000,5,2.0,,- House for sale,Jamaica,11433
51,1250000,3,3.0,1440.0,- House for sale,Brooklyn,11216
52,299000,1,1.0,750.0,- For sale by owner,Flushing,11372
53,90000,0,1.0,400.0,- Condo for sale,Bronx,10452
54,295000,2,2.0,1100.0,- Condo for sale,Bronx,10463
55,699000,3,2.0,1600.0,- House for sale,Middle Village,11379
56,265000,2,1.0,1100.0,- Apartment for sale,Bronx,10472
57,799999,3,2.0,1955.0,- House for sale,Brooklyn,11234
58,400000,3,1.0,1000.0,- Condo for sale,New York,10003
59,329000,2,1.0,750.0,- Condo for sale,Forest Hills,11375
60,688000,5,4.0,3052.0,- Multi-family home for sale,Brooklyn,11208
61,999000,4,3.0,1428.0,- House for sale,Brooklyn,11204
62,1595000,7,5.0,3704.0,- House for sale,Brooklyn,11210
63,359000,1,1.0,330.0,- For sale by owner,New York,10075
64,235000,3,2.0,,- House for sale,South Ozone Park,11420
65,279000,3,2.0,,- Condo for sale,Brooklyn,11234
66,549000,3,3.0,868.0,- House for sale,Jamaica,11434
