,Unnamed: 0,Price,Address,Beds,Bathrooms,Square Footage,Property type
0,0,"$453,200","173-11 110th Ave, Jamaica, NY 11433",6 bds,4 ba,"2,168 sqft",- Foreclosure
1,1,"$119,000","100 W 57th St #19M, New York, NY 10019",Studio,1 ba,450 sqft,- Condo for sale
2,2,"$1,295,000","461 83rd St, Brooklyn, NY 11209",4 bds,3 ba,"2,598 sqft",- For sale by owner
3,3,"$65,000","920 Metcalf Ave APT 3G, Bronx, NY 10473",1 bd,1 ba,700 sqft,- Condo for sale
4,4,"$379,000","303 E 57th St APT 32B, New York, NY 10022",2 bds,3 ba,"1,800 sqft",- Condo for sale
5,5,"$699,000","35 Poland Pl, Staten Island, NY 10314",3 bds,3 ba,"2,132 sqft",- House for sale
6,6,"$125,000","1204 Franklin Ave, Bronx, NY 10456",5 bds,2 ba,"2,695 sqft",- Multi-family home for sale
7,7,"$299,000","3363 Sedgwick Ave #4E, Bronx, NY 10463",3 bds,2 ba,"1,200 sqft",- Condo for sale
8,8,"$375,000","303 E 57th St APT 6D, New York, NY 10022",2 bds,2 ba,"1,400 sqft",- Condo for sale
9,9,"$345,000","18-70 211th St APT 2D, Bayside, NY 11360",3 bds,2 ba,"1,400 sqft",- Condo for sale
10,10,"$200,000","146-15 123rd Ave, Jamaica, NY 11436",4 bds,2 ba,"1,248 sqft",- House for sale
11,11,"$495,000","303 E 57th St #37DE, New York, NY 10022",4 bds,4 ba,-- sqft,- Condo for sale
12,12,"$239,000","2170 Brigham St #4D, Brooklyn, NY 11229",2 bds,1 ba,"1,024 sqft",- Condo for sale
13,13,"$360,000","142 Fox Ln, Staten Island, NY 10306",2 bds,3 ba,905 sqft,- House for sale
14,14,"$185,000","163-45 Cross Bay Blvd, Howard Beach, NY 11414",3 bds,2 ba,-- sqft,- House for sale
15,15,"$500,000","9281 Shore Rd APT 203, Brooklyn, NY 11209",2 bds,1 ba,"1,000 sqft",- For sale by owner
16,16,"$589,000","27 Prospect Park W #1A, Brooklyn, NY 11215",2 bds,2 ba,825 sqft,- Condo for sale
17,17,"$150,000","100 W 57th St #11F, New York, NY 10019",Studio,1 ba,650 sqft,- Condo for sale
18,18,"$169,000,000","432 Park Ave #PENTHOUSE, New York, NY 10022",6 bds,9 ba,"8,255 sqft",- Condo for sale
19,19,"$299,000","408 W 25th St APT 4FE, New York, NY 10001",1 bd,1 ba,-- sqft,- Condo for sale
20,20,"$345,000","303 E 57th St APT 12G, New York, NY 10022",2 bds,2 ba,"1,400 sqft",- Condo for sale
21,21,"$1,650","4005 Ithaca St APT 5D, Elmhurst, NY 11373",1 bd,1 ba,640 sqft,- Condo for sale
22,22,"$279,000","21-57 33rd St APT 4B, Astoria, NY 11105",2 bds,1 ba,-- sqft,- Condo for sale
23,23,"$174,900","112-19 34th Ave APT 3H, Corona, NY 11368",2 bds,1 ba,"1,000 sqft",- Foreclosure
24,24,"$150,000","1984 Vyse Ave #A, Bronx, NY 10460",2 bds,1 ba,900 sqft,- Condo for sale
25,25,"$150,000","100 W 57th St APT 14F, New York, NY 10019",Studio,1 ba,650 sqft,- Condo for sale
26,26,"$85,000","645 Barretto St APT 5J, Bronx, NY 10474",1 bd,1 ba,750 sqft,- Condo for sale
27,27,"$305,000","205 E 89th St APT 4D, New York, NY 10128",Studio,1 ba,450 sqft,- For sale by owner
28,28,"$300,000","755 Schenck Ave, Brooklyn, NY 11207",9 bds,3 ba,"2,976 sqft",- Multi-family home for sale
29,29,"$425,000","420 E 51st St APT 3D, New York, NY 10022",2 bds,2 ba,"1,250 sqft",- Condo for sale
30,30,"$700,000","489 Main Ave, Staten Island, NY 10304",4 bds,3 ba,"1,680 sqft",- Foreclosure
31,31,"$462,000","85-15 Main St #7D, Jamaica, NY 11435",2 bds,2 ba,"1,350 sqft",- For sale by owner
32,32,"$395,000","134 W 113th St APT 5R, New York, NY 10026",3 bds,2 ba,"1,000 sqft",- Condo for sale
33,33,"$85,000","1383 Plimpton Ave FLOOR 1C-1, Bronx, NY 10452",1 bd,1 ba,-- sqft,- Condo for sale
