,Address,Beds,Bathrooms,Square Footage,Property type
0,"12 E 63rd St, New York, NY 10065",7 bds,11 ba,"13,000 sqft",- House for sale
1,"2167 Crotona Ave APT 14, Bronx, NY 10457",1 bd,1 ba,550 sqft,- Condo for sale
2,"100 W 57th St #11R, New York, NY 10019",1 bd,1 ba,900 sqft,- Condo for sale
3,"100 W 57th St APT 5R, New York, NY 10019",1 bd,1 ba,900 sqft,- Condo for sale
4,"111 W 57th St PENTHOUSE 72, New York, NY 10019",4 bds,6 ba,"7,130 sqft",- Condo for sale
5,"8829 183rd St, Jamaica, NY 11423",3 bds,2 ba,"1,632 sqft",- House for sale
6,"20 W 53rd St, New York, NY 10019",5 bds,6 ba,"7,381 sqft",- Condo for sale
7,"303 E 57th St APT 32B, New York, NY 10022",2 bds,3 ba,"1,800 sqft",- Condo for sale
8,"15 Maple Ave, Bronx, NY 10465",3 bds,3 ba,"1,700 sqft",- House for sale
9,"216B Edgewater Park #B, Bronx, NY 10465",2 bds,1 ba,-- sqft,- Condo for sale
10,"123 E 61st St, New York, NY 10065",7 bds,9 ba,"9,300 sqft",- House for sale
11,"112-50 Northern Blvd #6B, Corona, NY 11368",2 bds,1 ba,-- sqft,- Condo for sale
12,"301 E 61st St #19A, New York, NY 10065",4 bds,4 ba,"2,900 sqft",- Condo for sale
13,"8 E 62nd St, New York, NY 10065",6 bds,8 ba,"14,825 sqft",- Townhouse for sale
14,"226 E 38th St, Brooklyn, NY 11203",4 bds,2 ba,"1,300 sqft",- House for sale
15,"12 E 69th St, New York, NY 10021",6 bds,8 ba,"20,000 sqft",- House for sale
16,"388 Edinboro Rd, Staten Island, NY 10306",5 bds,6 ba,"5,368 sqft",- House for sale
17,"1172 Fairfax Ave, Bronx, NY 10465",3 bds,3 ba,"1,296 sqft",- House for sale
18,"3304 161st St, Flushing, NY 11358",3 bds,3 ba,"2,400 sqft",- For sale by owner
19,"186 Heffernan St, Staten Island, NY 10312",4 bds,2 ba,"1,456 sqft",- House for sale
20,"432 Park Ave #82, New York, NY 10022",6 bds,8 ba,"8,054 sqft",- Condo for sale
21,"33 Ladd Ave, Staten Island, NY 10312",3 bds,3 ba,"1,332 sqft",- House for sale
22,"149 S 4th St APT 19, Brooklyn, NY 11211",2 bds,1 ba,-- sqft,- Condo for sale
23,"65-01 77th St, Middle Village, NY 11379",3 bds,2 ba,-- sqft,- House for sale
24,"131-16 115th Ave, South Ozone Park, NY 11420",3 bds,2 ba,-- sqft,- House for sale
25,"4 W 21st St APT 14B, New York, NY 10010",3 bds,3 ba,"1,674 sqft",- Apartment for sale
26,"30 Tricia Way, Staten Island, NY 10307",5 bds,4 ba,"5,150 sqft",- House for sale
27,"11 E 68th St PENTHOUSE W, New York, NY 10065",5 bds,6 ba,"6,189 sqft",- Condo for sale
28,"313 W 4th St, New York, NY 10014",5 bds,7 ba,"5,300 sqft",- House for sale
29,"310 E 46th St PENTHOUSE HJ, New York, NY 10017",6 bds,5 ba,"4,511 sqft",- Apartment for sale
30,"14009 14th Ave, Flushing, NY 11357",5 bds,4 ba,"3,640 sqft",- House for sale
31,"11831 221st St, Cambria Heights, NY 11411",3 bds,3 ba,-- sqft,- House for sale
32,"1611 Plymouth Ave #A, Bronx, NY 10461",5 bds,4 ba,"3,060 sqft",- House for sale
33,"24 Cooper St #5CD, New York, NY 10034",3 bds,2 ba,994 sqft,- Condo for sale
34,"43 8th Ave, Brooklyn, NY 11217",6 bds,5 ba,"5,802 sqft",- House for sale
35,"157 W 57th St PENTHOUSE 86, New York, NY 10019",4 bds,6 ba,"6,240 sqft",- Condo for sale
36,"175 E 62nd St APT 18B, New York, NY 10065",2 bds,2 ba,"1,086 sqft",- Condo for sale
37,"15905 134th Ave, Jamaica, NY 11434",5 bds,3 ba,"1,442 sqft",- House for sale
38,"3 Riverview Ter, New York, NY 10022",4 bds,5 ba,"4,400 sqft",- House for sale
39,"112-24 Northern Blvd UNIT 2D, Corona, NY 11368",3 bds,1 ba,-- sqft,- Condo for sale
40,"2445 E 19th St, Brooklyn, NY 11235",3 bds,2 ba,"1,813 sqft",- Multi-family home for sale
41,"53 W 53rd St #PH76, New York, NY 10019",4 bds,4 ba,"7,973 sqft",- Condo for sale
42,"111 Murray St #PH2, New York, NY 10007",5 bds,7 ba,"7,488 sqft",- Condo for sale
43,"3265 Tierney Pl, Bronx, NY 10465",3 bds,2 ba,"1,620 sqft",- House for sale
44,"303 E 57th St APT 45G, New York, NY 10022",4 bds,4 ba,"3,300 sqft",- Condo for sale
45,"416 College Ave, Staten Island, NY 10314",4 bds,3 ba,"1,766 sqft",- House for sale
46,"11534 Van Wyck Expy, Jamaica, NY 11420",3 bds,3 ba,"1,728 sqft",- House for sale
47,"601 Kappock St #1SR, Bronx, NY 10463",3 bds,2 ba,"1,250 sqft",- Condo for sale
48,"422 Thieriot Ave, Bronx, NY 10473",4 bds,2 ba,"1,600 sqft",- House for sale
49,"100 W 57th St #12R, New York, NY 10019",1 bd,1 ba,900 sqft,- Condo for sale
50,"104-54 164th St, Jamaica, NY 11433",5 bds,2 ba,-- sqft,- House for sale
51,"25 Milbank Rd, Staten Island, NY 10306",4 bds,2 ba,"2,304 sqft",- House for sale
52,"350 E 82nd St #14AB, New York, NY 10028",4 bds,3 ba,"2,893 sqft",- For sale by owner
53,"1125 5th Ave, New York, NY 10128",6 bds,7 ba,"70,820 sqft",- Condo for sale
54,"432 Park Ave APT 52C, New York, NY 10022",3 bds,4 ba,"3,576 sqft",- For sale by owner
55,"2856 Gerritsen Ave, Brooklyn, NY 11229",3 bds,2 ba,"1,216 sqft",- House for sale
56,"154 18th St, Brooklyn, NY 11215",3 bds,3 ba,"2,100 sqft",- Multi-family home for sale
